Site ,Location,incedentDate,approxIncidentDate,Quarter,Year,Level,LevelFormatted,Text,Lat,Lon,Fukushima/Wieghtman report safety recommendations
SELLAFIELD (British Nuclear Fuels plc),Sellafield,08/10/00,,Q4 00,2000,1,1," <p>A loss of electrical supplies to a large portion of the Sellafield site was experienced during Monday 9th October 2000. The failure centred on faults experienced on a new section of 11kV switchgear. Supplies were re-established within 47 minutes of the loss, well within the two hours allowed for in the safety case.</p> <p>The actions of BNFL during the recovery phase from the incident were found to be generally commendable, ensuring reinstatement of electrical supplies to the affected area well within the time allowed in the safety case.</p> <p>An NII team carried out an initial investigation into the incident. It concluded that the direct cause was a defective component in new electrical switchgear being installed as part of a project to update the electrical infrastructure on the site. The work was being carried out by Norweb, as contractors to BNFL, to arrangements that were regarded as standard practice for this sort of work.</p> <p>BNFL also carried out an investigation, which came to similar conclusions. This report is still formally awaited by NII, although there has been sufficient progress in satisfying NII&#39;s safety concerns with respect to the electrical infrastructure at Sellafield.</p> <p>The incident was classified as Level 1 on the International Nuclear Events Scale (INES). </p>",54.4193,-3.4874,F
HUNTERSTON B (British Energy Generation (UK) plc),Hunterston,N/A,,Q1 01,2001,1,1,"<p>During routine monitoring of Hunterston B, it was discovered that there was radioactivity in the ground water in the bore holes associated with reactor 4. This event was reported under the site arrangements, initially to the Nuclear Installations Inspectorate (NII) and Scottish Environment Protection Agency (SEPA), and later to other government departments.</p> <p>The licensee continues to investigate this matter with the assistance of company specialists and external contractors. The findings so far suggest that the levels of radioactivity present in the ground water are low and are decreasing. The source of the activity has not yet been conclusively identified, and this continues to be investigated by the licensee. Indications are that it was a one-off rather than continuous or recurring event.</p> <p>So far there are no detectable off-site effects, and steps are being taken to remove the arisings as they build up in the bore holes. Currently the evidence suggests that this event is not of radiological significance for workers and the public.</p> <p>The incident was classified as Level 1 on the International Nuclear Event Scale (INES). The NII and SEPA are being kept informed of developments in this matter.</p>",55.72269,-4.88997,F
SELLAFIELD (British Nuclear Fuels plc),Sellafield,06/03/01,,Q1 01,2001,1,1,"<p>On 6 March 2001, during a routine glove change operation on a glovebox in the plutonium processing section of the B205 Magnox reprocessing plant at Sellafield, plutonium contamination was released into the working area.</p> <p>This occurred when a seal weld on a waste export bag failed, releasing contaminated waste items onto the floor. Two workers were exposed to elevated levels of airborne plutonium, and BNFL&#39;s early estimate is that they have each received an effective internal exposure of about 4 mSv.</p> <p>BNFL&#39;s best estimate of the amount of radioactive material spilled is 24 Mbq of plutonium-239 and 720 Mbq of plutonium-241. This is 24 times the reporting level specified in IRR99 for plutonium-239 and seven times that specified for plutonium-241. BNFL has recovered the spilled material and decontaminated the working area. There was no release of radioactivity to the environment following the event or during the clean up activities.</p> <p>HSE investigated the event and required BNFL to undertake a site wide review of similar operations. This confirmed that there was a wide variation in the methods used for work within plutonium gloveboxes on the site. BNFL has developed an action plan to prevent a recurrence in B205. In addition, BNFL is reviewing its methods for carrying out plutonium glovebox operations.</p> <p>HSE is considering taking formal regulatory action. The incident was classified as Level 1 on the International Nuclear Event Scale (INES).</p>",54.4193,-3.4874,F
CHAPELCROSS (British Nuclear Fuels plc),Chapelcross,N/A,,Q1 01,2001,1,1,"<p>During refuelling operations on Reactor 2, an irradiated fuel element failed to release from the grab (this is used to hold an element while it is withdrawn from a reactor). Routine methods were used to release the grab. However, the irradiated fuel element snagged during the operation and was lifted out of its shielding resulting in the operators on the pile cap being exposed to the intense radiation being emitted from the irradiated fuel element. Personnel responded quickly, and the radiological dose received by them was small.</p> <p>The event revealed shortfalls in the safety of the refuelling operation and the licensee took the immediate step of halting all refuelling operations while it investigated the event and reviewed the safety of the equipment. The NII investigated the event and judged that it was due to inadequate design and operation of the equipment. The licensee has modified the equipment and procedures in accordance with the nuclear site licence requirements and NII has agreed to fuelling operations continuing.</p> <p>The incident was classified as Level 1 on the International Nuclear Event Scale (INES).<br /> </p>",55.0176,-3.224,F
HEYSHAM 1 (British Energy Generation Limited),Heysham,N/A,,Q3 01,2001,1,1,"<p>To meet the requirements of the nuclear site licence, each of the two reactors at Heysham 1 is shutdown periodically to enable examination, inspection, maintenance or testing of safety related components that cannot be accessed when the reactor is operating. Reactor 1 was subject to a periodic shutdown in August/September 2001.</p> <p>Inspections of the reactor graphite core are carried out using remote TV cameras and equipment to measure the geometry of the core components. The aim of the inspections is to confirm that the core components are performing in accordance with the predictions assumed in the safety case. During the planned inspections of the Reactor 1 core fuel channels, BEGL found cracks in some of the graphite bricks. The cracking of reactor core bricks is a known and predicted ageing condition for irradiated graphite and has been observed at other AGR stations. BEGL responded to the inspection findings in a conservative way by revisiting and updating their existing core safety case for Heysham 1. Consideration was also given to the possible implications of the inspection findings to the other operating AGRs . The BEGL review considered the inspection results against the assumptions made in the existing safety case, which included the possibility of cracks in the core bricks, and concluded that the revised core safety case was valid for a further period of operation.</p> <p>Specialist graphite inspectors from the HSE&#39;s Nuclear Installations Inspectorate carried out a detailed assessment of the revised core safety case, to ensure that the required safety functionality of the reactor core would be maintained for a further period of operation. NII&#39;s assessment focussed on ensuring sufficient safety margins were available in the safety case to allow for any further cracking of the core bricks. The NII assessment concluded that the safety case was adequate to support the return to service of Heysham 1 Reactor 1 and that the safety cases for other AGR stations remained valid.</p> <p>The event was classified as Level 1 on the International Nuclear Events Scale (INES).</p>",54.02924,-2.91493,F
SELLAFIELD (British Nuclear Fuels plc),Sellafield,06/07/01,,Q3 01,2001,1,1,"<p>During a rainstorm on 6 July 2001, localised flooding about 10-15 centimetres deep occurred outside a laboratory complex and overflowed an external door threshold into the building. The water entered an old laboratory which is currently being decommissioned. Historic plutonium (Pu) contamination, probably from under a floor lining, was re-suspended by the flooding and spread over part of the laboratory floor. The area has subsequently been cleaned up and decontaminated. There was no release of radioactivity from the building and no radiation dose received by the workforce.</p> <p>BNFL reported the incident as a spill under the Ionising Radiations Regulations 1999 (IRR99). The estimated amount of activity involved was equivalent to 10MBq of 239Pu and 200MBq of 241Pu which is respectively 10 and two times the IRR reporting level. The incident was classified as Level 1 on the International Nuclear Event Scale (INES).</p> <p>BNFL carried out remedial work on the building to prevent a reoccurrence of the water ingress, and additional work is in hand to strengthen these measures. HSE&#39;s Nuclear Installations Inspectorate investigated the incident, and is monitoring progress with the remedial work.</p>",54.4193,-3.4874,F
CHAPELCROSS (British Nuclear Fuels plc),Chapelcross,05/07/01,,Q3 01,2001,1,1,"<p>At 1.20 am on 5 July, during routine discharge operations on Reactor 3 at BNFL&#39;s Chapelcross nuclear power station, a basket containing 24 irradiated magnox fuel elements dropped. It fell about 5 feet onto a door in the pile cap floor, but was still contained within the discharge machine. BNFL stood down its Emergency Control Centre at about 6pm when it concluded that the fuel was stable and that no radioactivity had been released.</p> <p>On the eveni<!-- #BeginDate format:IS1 -->2011-10-26<!-- #EndDate --> detailed remote TV examination, and found that 12 fuel elements were missing from the basket. After further checks, BNFL concluded that the door the basket had been resting upon must have been opened during discharge operations, and that the missing elements must have fallen about 80 feet, down the discharge shaft through which the elements are normally lowered in the baskets.</p> <p>BNFL declared a site incident on 12 July in order to be better able to co-ordinate its activities. The NII set up its Response Centre and dispatched a team of inspectors to the site. NII focused upon ensuring that BNFL took appropriate steps to locate and recover the missing fuel. They recovered it safely on 17 July, and the NII was able to stand down its Response Centre as it was satisfied that no member of the public or employees had incurred any harm from the incident.</p> <p>Subsequently, priority was given to regulating BNFL&#39;s recovery of the 12 irradiated fuel elements still within the discharge machine. This was achieved safely on 27 October.</p> <p>BNFL has embargoed routine refuelling operations at Chapelcross, and will have to provide a safety case to satisfy the NII that it can return to routine refuelling safely. Similar measures have been taken at its sister station at Calder Hall.</p> <p>The NII is producing a report, which will be available to the public on this incident which was classified as Level 1 on the International Nuclear Event Scale (INES).<br /> </p>",55.0176,-3.224,F
SELLAFIELD (British Nuclear Fuels plc),Sellafield,N/A,,Q4 01,2001,0,0,"<p>British Nuclear Fuels reported the detection of Tc<sup>99</sup> in groundwater taken from a borehole on its Sellafield site close to the Main Gate. This was the result for the first analysis of groundwater from this borehole for this isotope. The incident report noted that the sample may have been a false analysis. Subsequent analyses have confirmed Tc<sup>99</sup> in this borehole and, at lesser concentration, in others in the same area. Activity has also been detected beyond the site boundary but at much lower concentrations.</p> <p>The Health and Safety Executive&#39;s Nuclear Installations Inspectorate (NII) has asked BNFL to determine the source of the activity and to report the work the company is undertaking to prevent further leakage from the plant and to prevent activity leaving the site.</p> <p>The company has confirmed that the probable source of activity in the ground is the sludge storage tanks in Building B241. These old tanks have been suspected to be leaking for some years and recent modifications have been made to address this. The recent detection appears to be confirmation that leaked material has reached the groundwater on the site. The fall off of activity concentration in boreholes away from the plant is consistent with B241 being the source of the activity.</p> <p>To remove the potential for leakage from this old facility, BNFL is proposing to commence emptying the storage tanks in 2002. The NII is currently considering the safety case for BNFL&#39;s plans to do this. The Inspectorate has requested BNFL&#39;s proposals for control of the radioactive material that has entered the ground and expects to receive this soon.</p> <p>In respect of the activity detected off the site, the Environment Agency has stated that it is satisfied that the reported concentration of Tc<sup>99</sup> is radiologically insignificant. However, until the source of the activity is known, the Agency has regulatory concern. It also has requested BNFL to undertake monitoring to confirm the point of leakage, and will work with NII to consider any regulatory action.</p> <p>The incident has been classified as Level 0 on the International Nuclear Event Scale (INES).<br /> </p>",54.4193,-3.4874,F
Dungeness B - British Energy Generation Limited (BEGL),Dungeness,N/A,01/01/02,Q1 02,2002,N/A,0,"<p>In January 2002 BEGL reported two events that had each led to water leaks from joints in large diameter pipes of the Dungeness B Water Spray Fire System. In both cases, the system was removed from service to enable the leaks to be repaired. As the Water Spray Fire System protects safety-related equipment from fire, the reactors were shut down to maintain nuclear safety. The Nuclear Installations Inspectorate (NII) Site Inspector&#39;s initial investigation raised a number of concerns with respect to the adequacy of the Water Spray Fire System. A Direction to review and reassess safety was issued under Licence Condition 15(4). The results of this were reported to NII by the end of March 2002 as required. BEGL has already made some improvements to the system and the Site Inspector is continuing with his investigations.</p>",50.91333,0.95985,F
HEYSHAM 1 - British Energy Generation Limited (BEGL),Heysham,11/03/02,,Q1 02,2002,2,2,"<p>British Energy reported an event at Heysham 1 on 11 March involving a fuelling machine operation at a Fuel Storage Tube. The machine had collected a new fuel assembly from the tube and had replaced this with a short shield plug. Unknown to the operators, and contrary to the indications at the fuelling machine, the shield plug had not disconnected from the machine grab. A mechanical interlock designed to prevent the machine moving until safe to do so had failed. This allowed the machine to move sideways which resulted in impact between the shield plug and the storage tube. The shield plug was severed into two parts with the lower part falling into the storage tube.</p> <p>The NII Site Inspector visited the site within a few hours of the event being reported. He confirmed that the nuclear safety significance of the actual event was low, but that it could have been more serious if the fuelling machine had been operating at the reactor. There are, however, other interlocks to provide protection in this case. He also confirmed that a full investigation was underway and that the refuelling safety case would be revalidated before the machine was used again over the reactor. The event was subsequently categorised as a level 2 event (an incident) on the internationally used INES scale of nuclear events, due to the implications of multiple failures of safety provisions.</p> <p>NII has closely scrutinised the licensee&#39;s investigation and safety case revalidation process. We also used our regulatory powers to prevent the refuelling machine being returned to service without our agreement. We eventually allowed BE to return the machine to service following our assessment of the revalidated safety case. We continue to monitor the longer term actions arising from the event as part of our routine regulatory business.<br /> </p>",54.02924,-2.91493,F
